,Name,Overall rating,Date of reply,Text
294,Fidget Spinner Toys Central,5/5 stars,"November 14, 2017","The cost of hiring a developer to create an Android and iOS Apple app for a website usually costs a fortune. Plobal helps Shopify site owners create a working, functional app for both app platforms for zero up-front cost, and they only charge a fee after your apps generate revenue, which is very fair and generous. You can customize your apps to a certain degree and you have to pay Google and Apple their fees (each $99 or less) to publish and simply having the apps listed on your website boosts your credibility and helps new sites generate money. They also provide generous time via Skype calls with useful tips on marketing your website and apps, at no extra cost and with no sales pushiness. They've helped hundreds of websites with apps, so they know their stuff. If you are expecting a fully customized Amazon style app for free, then you're being unrealistic. These apps are nice looking and allow customers to buy products in a clean, simple Google-like basic look with some colors and logo branding which, honestly most customers today prefer over very heavy apps. Plus you can have in-app pop up messages and send push notifications and do a lot of marketing at no extra cost. I HIGHLY recommend working with the Plobal Apps team, as there is no cost until you start making money via the app. You will learn a lot, build your site's credibility and make money along the way. At a minimum, it's worth giving it a shot, and if it's not for you, then at least you tried. Oh and, no reason to leave these folks a bad review and hurt their business. They were on the phone with me past 8pm at night working with me and others and they are solid at what they do. Just because it's not what you need, does not negate their value. Cheers!"
295,Bsparkle,5/5 stars,"November 11, 2017",Great experience so far. Android app is up and running and iOS will be up soon. Plobal team gave me some tips for improving the business and walked me down step by step in order to configure the app.
296,Bluestreak Crystals,5/5 stars,"November 10, 2017","Been using this app for about 6 months now and I am very happy with the mobile app and my customers also appear to be happy. Configuration UI is good. The mobile app great, works well and is very responsive. Support team are very responsive and helpful. I just wish the app was compatible with ipads, I keep asking when an ipad solution will be available, but there has been no commitment on this to-date. "
297,Facer Cz,5/5 stars,"November 10, 2017",Excellent support and mobile applications. It contains only what is important and functional. It's an Apple brand among mobile application developers. Thank you!
298,Blue Moon Crystals Jewelry,5/5 stars,"November 8, 2017",I love this App!  The Android and iOs apps look very sharp and work great.  I would call myself very challenged in the area of App set-up and use & Yuvraj was exceptionally helpful.  The technical and marketing help has also been very much appreciated.  I would absolutely recommend this App!
299,Herbal Care Global,5/5 stars,"November 7, 2017","One of the best developers, they are so helpful and actually take the time out to guide you on how to generate sales."
300,Andersons Themes And Dreams 2,5/5 stars,"November 6, 2017","I can honestly said this has been the best service I had ever received.I wanted to have an app for our business and could not believe how Fantastic the  service was .Well worth it we go live soon and are all so excited about it . yuvraj has been pleasure to work with. Communicative, prompt, helpful, and has the  patience of a saint bless him true gentleman a credit to this company."
301,Kjgadgets,5/5 stars,"November 2, 2017","Tremendous service.  I do not have much app experience, but they walk you through everything.  Any question I have is answered, usually within 10 minutes."
302,Gear Fanatic,5/5 stars,"October 26, 2017","Hands down the best customer I have experienced with ANY online service in a long time. The Plobal apps team are super-stars. They have treated me like royalty from the very beginning, even though I am a free plan customer. They have an AMAZING free plan that really removes the barriers to success. They have created a super powerful app for my store that looks great. For any aspiring store owner I can tell you that NO request is too much effort or inconvenience for them "
303,Indibulk Late Night,5/5 stars,"October 17, 2017","This is the best, cost effective off the shelf Shopify app solution. Amazing customer service. We wasted 2 years and endless headaches with other solutions. Glad we found Plobal. "
304,I Am Natural Shopify Trial,5/5 stars,"October 9, 2017","If you are looking for a cheap out-of-the-box mobile app solution, this one is by far the best. We started with a different app, but found its limited features, iOS only option, and non SDK function just didn't make having an app worthwhile. In fact, we just got negative feedback from app users saying ""why bother?"" And while i would be nice to afford a custom purpose-built app, we couldn't justify the spend."
305,Spree Spot,1/5 stars,"October 8, 2017",Every single positive review on here is fake. We were prompted to customize our app and then wait 24-48 hours for them to make the app and then after 4 days we contacted them and they told us we needed to customize our app which we already did. Do not waste your time. I have went through every app maker in Shopify and have not found one decent app maker. Better searching online to make a professional app.
306,Rustic Charm Interiors 2,5/5 stars,"September 19, 2017","Great product, great service, well worth the monthly fees. I highly recommend them. Far much cheaper that having a designer customise you website for mobile."
307,White Heron Books,5/5 stars,"August 23, 2017",Just started to use their services for both iOS and Android apps for our Shopify store. Got the apps up and running within a day. Their assistance is excellent and prompt.
308,Own The Couture,5/5 stars,"August 17, 2017","Thank you to the Plobal Apps team, the support for the creation of this app is 5 stars. They are quick to respond and full of great recommendations that go beyond just the creation of the App. Impressive team and strongly recommend Plobal Apps if you're looking to launch your own store App. It doesn't get any easier than this!"
309,Champsports,5/5 stars,"August 3, 2017",Plobal Apps is great to get your first app rolling and off the ground. The customer service is great and the follow up is just the same. We are excited to continue to work together in building up our app to the next degree. 
310,Dankstop 8,5/5 stars,"August 1, 2017",Awesome service!   Well worth it.  
311,Earthfood2016,5/5 stars,"September 1, 2020","Very easy to set up and go live, the Plobal Apps team helped us a lot to get it all up and running too. We'd recommend Plobal Apps to anyone looking for a cost effective solution without compromising on quality. Also, would like to thank Khadija for all the support provided!"
312,Straik Store,5/5 stars,"July 25, 2017",Great app and best customer care!! ++++++
313,Tulio Fashion,5/5 stars,"July 24, 2017",We are using PlobalApps and have been thrilled with everything about the app.  It was very easy to setup.  If we have any issues they are only ever an email away and respond very quickly to any questions.  We have had over 1600 app downloads so far and have generated a 1300% ROI so I would have to say it has been an outstanding success.  You get what you pay for and this app is worth the investment.
314,Chases Snack Emporium,5/5 stars,"July 10, 2017","I have tried literally all other Shopify mobile app builders, tailoring each app to its best ability and using the various preview apps to see what would be best.  On the surface, Plobal is quite expensive compared to competitors, however, after developing an iOS app with a different, free, service and then transitioning to Plobal I wish I would have just done it right off the bat."
315,Jasqatar,5/5 stars,"July 3, 2017",Best experience ever.friendly employee and very helpful.
316,Bare Feet Shoes,5/5 stars,"June 9, 2017",Great app and customer service is fantastic. The app is a bit limited in features but overall it does what we need it to do. Very responsive team and all issues are resolved quickly. Definitely recommend!
317,Vikistores,4/5 stars,"June 9, 2017","We tried this company for our app they are a real good people  , creative , very quick responding to our demands , they are proffesional team"
318,Vika Boutique,4/5 stars,"May 11, 2017","Hi team!!!First of all,Awesome support i must say, from the beginning till date, all our enquiries are answered, kudos to Khadija, this lady is just awesome!!!my sales is increased after i get the app, its handy, easy to access, push notification facility"
319,Cedriccages,5/5 stars,"April 24, 2017","There comes a time where 5 stars aren't enough to express the immense joy you receive from a company or even an app. This is one of them. The Plobal team is beyond customer service, they are a friend. A trustworthy sidekick in crime! 14 Day free trial! That will give you more than enough time to experience the wonders and beauty of their services. My recommendation 110% DOWNLOAD THIS APP AT ONCE. All the others ones can't even compete. All hail the Plobal team! "
320,Cherrysauceclothing,5/5 stars,"May 21, 2019",This app has amazing ROI. About 10-15% of our total sales are done through the mobile app channel now that we've been using it for a while. 
321,Dilionline,5/5 stars,"April 7, 2017",Excellent customer service from day one! Look no further for your mobile app solutions. FOR THE PRICE IT IS WORTHED. 
322,You Got Ejuice,5/5 stars,"March 22, 2017","We use the Plobal App and we have to say it is not only one of the most user-friendly apps, but the support that Plobal offers is invaluable!! We highly recommend this to anyone looking into creating a mobile app."
323,Parthenon Foods,5/5 stars,"March 22, 2017",Great app and perfect customer service for any issue.  Highly recommend!
324,Sabadda,5/5 stars,"March 17, 2017",The support is top notch. Probably the best mobile app for Shopify stores.
325,Snipergang,5/5 stars,"March 13, 2017",Great app developing platform.  Staff is extremely attentive and helpful.  They are always available when you need them and are dedicated in making sure the customer is 100% satisfied.  Highly recommended. 
326,Adnaramfemme,5/5 stars,"March 5, 2017","This company has exceeded my expectations since day one! Since the very first day I came across this app in the App Store! Having an app can be intimidating! The research can time consuming and draining. The team over at Plobal Tech continue to leave me speechless each day with their exceptional on the spot customer service! I can say honestly say the team at Plobal Tech handle their customers with grace! I am more than positive that my sales are about to increase at least 75% because of this app. The admin interface is super easy to use!!! And if you still don't understand, the team is there to make sure you overstand. My success is you all's success! Thank you Plobal, Ali and Khadija for a seamless teamwork experience! Much success to you!!!"
327,Gracehats,1/5 stars,"March 1, 2017",Customers are complaining about the type of access the Google app has to the phone:
328,Thisandthat4kids,5/5 stars,"February 8, 2017","Very nice people to work with, the service is excellent.  They will help you any way they can.  Thank Khadija!"
329,Vape Club International Store,5/5 stars,"February 1, 2017",Great team! Love this app so much. It has increased our mobile conversions by 200%. Support is epic too - thanks Khadija!
330,B1ack Gesus 6xi L A I D,5/5 stars,"January 25, 2017",They have a great support team and the app works and looks fantastic. #B1ACKGESUS
331,Urban Candy Boutique,5/5 stars,"January 16, 2017","Yuvi is awesome, I'm so glad he took the time to reach out to me personally and see how everything in my business was going. I can't wait to start working with PlobalApps!"
332,All American Apparel,5/5 stars,"January 12, 2017",We have just started using the app and so far so good.
333,Sheikh Stores,5/5 stars,"January 6, 2017",The best mobile app for Shopify and i love support team.
334,Budget Workwear,5/5 stars,"January 6, 2017","This is the best mobile app for Shopify at the moment. We have been using this for just over two months and have built a good momentum in the number of installs. The support has been great as well. We are now looking into upgrading to the Power plan this month so that our customers can experience the native checkout. Keep up the good work guys, "
335,Designer Trends Daily Concierge,5/5 stars,"January 2, 2017",I love the team at Plobal Apps. They provide great support and their communication is excellent. I never have to wait long for any replies or requests to be completed. I wish the managed all of my apps. 
336,Ebarza,5/5 stars,"June 9, 2018","It's the perfect choice for Shopify users if they want to have professional android and ISO application quickly and in very reasonable price.The support team is always avaible 24/7 through chat, email or conference call.They worked hard with me to customize some functions in my application to fit my requirements.I'm very happy with the end result and the application is very stable and fast."
337,Comprasmax,5/5 stars,"December 21, 2016","Yuvi and his team are fantastic and Yuvi provides phenomenal customer service! What we like the most is that they are willing to work with you and they have the right attitude towards customers. They are not the most flexible app YET but they have built a very good foundation which works very nicely. Also, they are hard at work adding more customization capabilities and more features...You also get a lot of help along the way to set it up. We are just getting started and are super happy so far! Highly recommend it. "
338,Vapel1fe,1/5 stars,"December 21, 2016",So here we go.  I went to these guys because they emailed me asking to give them a second chance essentially.  Well I get a response from them about USING the SDK for 199 and they tell me that I cant use the sales channel Mobile.  WHY is no one using SDK if they are telling people they are.  Seems NO mobile platforum is supporting SHOPIFY non api SDK option.  Sad really.  
339,Baritoz Basistha,5/5 stars,"December 10, 2016",To all who wants to starts a shopify store.
340,Baileys Blossoms,5/5 stars,"November 30, 2016","After a nightmare of a situation with another app company, who was both pricey and lacking in customer service, we turned to Plobal Apps with mediocre expectations.. boy were we WRONG!  For a fraction of the price we were able to create a beautiful app in just a few short steps and started seeing success and downloads instantly.  The team is incredibly responsive and working to integrate more features consistently as per our requests.  Thank you Plobal Apps and keep up the great work! :) xoxo - Erin, owner/founder of Bailey's Blossoms & baileysblossoms.com "
341,Republic Of Party,5/5 stars,"November 29, 2016",I got this app for my shop and absolutely LOVED it! It was so easy to follow the instructions to set up. Customer service is awesome and very friendly. All questions I had were answered quickly and explained so that I could understand what I was doing. I highly recommend as this app will help customers shop in your store with ease. Plus it's pretty cool to say my store has an app!!! :) 
342,Pilaten Sonora,5/5 stars,"November 28, 2016","I was looking many option to create a mobile app for my store and Plobal Apps was the best option, in just 20-30 minutes i configurate and complete the set up to view my shopify store in a mobile app"
343,Qatar Sales,5/5 stars,"November 27, 2016",Excellent application and Yuvi strives to provide excellence in support. 
344,Westgate London,5/5 stars,"November 26, 2016",Excellent Support and Staff. Very Efficient at getting things done! Highly recommend the app 
345,Xcluciv Barber Supplier Llc,5/5 stars,"November 23, 2016","So far I have been using Plobal Apps for two of my operations, in different countries and I am very pleased with the results. The app is clean, super easy to use, and functions extremely fast. The app is cost efficient and the support team is accessible and very supportive. Ali and Khadija have been awesome! Thank you Guys:) They have been seeing my project through from beginning to assure their app operates at an optimum level. I have converted over from an alternative provider and in comparison, am happy to say that it was a great business decision. I recommend Plobal App to any business who is looking to take their business to the next level mobily! Robert, Xcluciv Brands"
346,Sfgopher,5/5 stars,"November 22, 2016","Plobal Apps.  Where do I start?  First off, I don't normally write reviews, but in this case, I had to.  Plobal Apps has one of the most user friendly and easy to navigate set ups I've seen and I've tried them all....There is no bait and switch as seems to be a trend with some Shopify Apps lately.  Just a solid, awesome platform to build a  quality app on.  I can't even begin to explain how phenomenal the customer service is.... They are so on point and promise you absolutely will not find a better platform, product, price, team, or customer service.  "
347,Fly Supply Co,5/5 stars,"November 21, 2016",Amazing app and great one on one customer service.  I'm so happy we chose this company.  You won't be sorry! 
348,Oz20,5/5 stars,"November 17, 2016",Great app for my business. Also Plobal team is amazing and responsive. If you want to take your business to next level then go for it!!
349,Beautysocial,5/5 stars,"November 17, 2016","After numerous attempts to finding a mobile app developer I was going to give up, until I came across plobal apps. My experience with the company has been exceptional from the start. The support they provide is top notch and they are willing to go above and beyond to meet your expectations. "
350,Gkurnool,5/5 stars,"November 16, 2016","We would definitely recommend this plobal apps especially because of excellent customer service.We were interacting with Yuvraj,Khanija and Aliasger.They are good and supported us very well."
351,Minutosmx,5/5 stars,"November 14, 2016",We highly recommend the Plobal App team.Their support team is fantastic. They really seek satisfaction for customers constantly helping with good strategies and looking for improvements for the application.
352,Christopher Bean Coffee Company,5/5 stars,"November 14, 2016","I gave this a 5 because of the stellar customer support i received from the app team.  Between phone calls and emails i was never disappointed.  The other reason i gave this 5 was the app itself, now in saying that you have to compare apples to apples, this is an out of the box app, so you will have limitations with customization, but for ease of use, set up and functionality its great.  Did i mention customer support? The other reason i like this app is the team seems to be very intent on increasing the functionality of the app, so i would think that in the future you will see the ability to customize and even incorporate the app with other apps. "
353,East India Cases,5/5 stars,"November 11, 2016","We have recently created our App with Plobal Apps. The App was created in 5 minutes, is fast and user-friendly too! They are constantly improving it by adding great new features. If you're looking for an App, go for Plobal Apps!"
354,E Z Photo Scan,5/5 stars,"November 10, 2016","This company has done an outstanding job of helping us start an app, train us on how it's used, and provide excelant service and support so that we have exactly what we want. "
355,Bluelloce,5/5 stars,"November 10, 2016","I was looking to have a mobile app however I did not imagine it happening since it is quite expensive to build one, that is when I came across Plobal app. It is easy as cake to have a mobile app now, that is not heavy to load and does not take up a lot of space. "
356,Homenuprenuer,5/5 stars,"November 9, 2016",Awesome support and followup on issues and requests. Got my Android and IOS app in a very quick time. Also their extended help in app marketing strategies really helped a lot. 
357,Super Hero Toy Store,5/5 stars,"November 8, 2016","The team at plobal apps is one of the most supportive teams ... they will get anything resolved in a instant , the best part about the team is that they are very pro business they will do everything and anything to ensure that you get what u want and what is right for your business , great team u should try the app for them alone , overall the app is good and they keep improving it over time so that's always a plus "
358,Unicarepackage,5/5 stars,"November 7, 2016","These guys are amazing! iOS and Android were launched on the app store effortlessly. Khadija, Ali and the team really work hard to make sure you get the most out your new app. "
359,Tech Central,5/5 stars,"November 6, 2016",Excellent Support from Ali and Team. They have helped me through the whole process with the app looking better and better overtime. Thank you and www.techprogear.com loves you.
360,Yellowfashion,5/5 stars,"October 25, 2016",All (5) Stars to the Plobal Team.
361,Livapastacilik,5/5 stars,"October 15, 2016",I highly recommend the Plobal App team. I did research about the mobile app intagrated with shopify and i found the app with well user experience and functionality.
362,Kangaroz,5/5 stars,"October 13, 2016","Guys if you are looking for best app you are at the right place period. i have tried all the other folks on shopify store and none of them give me attention. Plobal team responded to every single question. don't look further just go with these guys. the app is great and amazing, i'm sure they are working super hard to add more feature in the future."
363,My Beauty Galaxy,5/5 stars,"October 13, 2016",AMAZING!! I had the 2 apps on iOS & Google Play within 5 days!Great Team and looking forward for My Beauty Galaxy to work with Plobalapps
364,Creative U Studios 2,5/5 stars,"September 15, 2016",I cannot say enough great things about the Plobal Apps team and their fantastic product. It truly cannot be easier to make a great looking iOS and/or Android app for your Shopify store--there's really no reason to at least use their free preview to see what your app will look like. 
365,Musotica,5/5 stars,"September 19, 2016",Amazing help these guys really care. They helped me with setting up and were really nice. I would recommend it. I have both IOS and Android for $99 a month.Amazing!
366,Golfdirectonline,5/5 stars,"September 7, 2016",Its been a great pleasure to work with Plobal Apps! They are expertise in this and will greatly help in depth for any problems you faced! :) Choosing them save me lots of hassles! Thank U Plobal!:D
367,Dr Makorofia,5/5 stars,"August 29, 2016","I start by giving high props to the tech team. They were very patient with me when I started and offered me all the advise and support I needed to get my APP running. Launching of this APP has been a blessing for my business and followers. The fact that I run a charity organisation as well, the Push Notifications have boosted the efficiency of my campaigns. This is a product I would recommend any entrepreneur.I pass my special gratitude to Mr Ali and my assigned store account manager Khadija. Your delivery has been impeccable, on point and am very very very very satisfied with your services. Let me sign off before I publish a Novel:-)"
368,Island Haze,5/5 stars,"July 16, 2016","We researched a lot of other app developers before deciding to go with Plobal Apps. After reading countless number of reviews, the #1 problem most people complained about was the lack of communication with the other companies. Not with Ali and his team at Plobal Apps though. Like the other reviews have already stated, Plobal Apps do an excellent job at communicating and will often get back to you within hours, if not sooner. The dashboard is very straightforward and easy to use, and integrates very well with the Shopify platform. The best thing about them though is they are constantly looking at ways to improve the app, to ultimately create a better user experience for both us, their clients, and the end user, our customers. Keep up the good work!"
369,Itsablackthang,5/5 stars,"July 12, 2016",The Plobal App was easy to set up and it turned out great. It automatically syncs up with our Shopify store and now our mobile users have a much better platform for shopping on our site. The Plobal Apps customer service is excellent and the best I’ve ever experienced. They go above and beyond to make sure everything is working properly. They responded within a few hours to any concerns we had and quickly resolved any issues. I highly recommend Plobal Apps and we look forward to working with them on future projects.
370,Cdmaphone,5/5 stars,"July 7, 2016",NICE APP WE GET MANY ORDERS ON IT 
371,Bred New York,5/5 stars,"July 7, 2016","The app is clean and crisp. Real-time sync with your shopify store. The customer service is phenomenal. My concerns or questions are addressed almost immediately -- not talking same day, I'm talking within an hour. They've made several revisions already to our app and we haven't been live for a week. Thanks!!"
372,Zahana1,5/5 stars,"June 30, 2016","Highly Recommend Plobal Apps To everyone who's looking for an app for their store. Hassle Free and quick process, with a neat and appealing layout which will definitely boost up your sales. The Plobal Apps Team is very helpful and quick in resolving issues if any. "
373,Casedodo,5/5 stars,"June 20, 2016",Thank Plobal Apps Team for such a great app and your quick Support.It's DIY dashboard is simply awesome.Highly highly recommended app for all shopify store.Thanks Plobal Apps for such a lovely and great app.
374,Refashsg,5/5 stars,"June 16, 2016",Plobal App is definitely amazing! Their costumer service is second to none and they're really helpful throughout the whole process. 
375,Hautecouturegirls In,5/5 stars,"April 27, 2016","Excellent App Must have for all Shopify Stores. Quick and Easy, Simple Set up!! Up and running on the stores in a week.More in Depth Reports are needed however that is being done is what i am told."
376,Vefucart Com,5/5 stars,"April 25, 2016",Best app development platform available in india.
377,Budli,5/5 stars,"April 13, 2016",Personalized service and good communication. Look forward to strong association.
